model,seed,tracer_count,mass_ratio,speed_factor,inclination_deg,initial_offset_kpc,retrograde,duration_myr,frame,time_myr,separation_kpc,primary_rms_kpc,secondary_rms_kpc,primary_outer_fraction,secondary_outer_fraction,centers_energy_normalized_error,centers_angular_normalized_error
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,0,0,61.18823416311342,7.780303104195488,6.660339346614332,0,0,0,0
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,1,4,60.559270391143244,7.780339180716821,6.660382642285912,0,0,7.98662154438095e-11,4.156242691425409e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,2,8,59.927486074028266,7.780450009144888,6.66051103423005,0,0,1.6415118275892957e-10,4.156242691425409e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,3,12,59.29282543722373,7.780638945376176,6.660721791923655,0,0,2.5316733413648474e-10,-4.156242691425409e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,4,16,58.65523079078961,7.780908640051453,6.66101172799754,0,0,3.472578747610861e-10,-4.156242691425409e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,5,20,58.01464243518264,7.78126109927893,6.661377453489602,0,0,4.467929733880401e-10,0
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,6,24,57.370998561002075,7.781697775502214,6.661815639246874,0,0,5.521792859003268e-10,2.0781213457127047e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,7,28,56.72423514220971,7.782219664244121,6.662323271845645,0,0,6.638571577637376e-10,4.156242691425409e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,8,32,56.0742858222996,7.782827380952964,6.66289789248615,0,0,7.82309849972698e-10,0
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,9,36,55.42108179284385,7.7835211956056005,6.663537807684828,0,0,9.080664556395926e-10,-1.2468728074276227e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,10,40,54.7645516637829,7.7843010102798775,6.664242261557592,0,0,1.0417071974733337e-9,1.6624970765701637e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,11,44,54.10462132476961,7.7851662751022195,6.6650115613885825,0,0,1.1838647372684462e-9,1.2468728074276227e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,12,48,53.4412137968053,7.7861158490435,6.665847151160914,0,0,1.3352386398072293e-9,-8.312485382850819e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,13,52,52.77424907333046,7.78714782233569,6.66675163159068,0,0,1.4965994203714712e-9,8.312485382850819e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,14,56,52.103643949846315,7.788259325495818,6.66772872934071,0,0,1.668793008909783e-9,3.3249941531403274e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,15,60,51.42931184104795,7.789446355098917,6.668783221581836,0,0,1.852753904450676e-9,2.9093698839977864e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,16,64,50.75116258434243,7.790703647839604,6.669920824013162,0,0,2.0495190437824108e-9,4.57186696056795e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,17,68,50.06910222850455,7.7920246315849075,6.671148050341313,0,0,2.2602335155871843e-9,4.987491229710491e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,18,72,49.38303280608835,7.7934014748886655,6.672472049213937,0,0,2.486170976566403e-9,4.1562426914254094e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,19,76,48.69285208806078,7.79482524519782,6.673900421492011,0,0,2.7287462106314486e-9,3.7406184222828684e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,20,80,47.99845331895257,7.7962861719516,6.675441017582614,0,0,2.989538104484886e-9,3.3249941531403274e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,21,84,47.299724930629026,7.7977739960865184,6.677101712166001,0,0,3.2703080399898803e-9,7.481236844565737e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,22,88,46.59655023256705,7.7992783748438,6.678890152361363,0,0,3.5730247744628045e-9,9.559358190278442e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,23,92,45.888807076277736,7.8007893028381305,6.6808134751283506,0,0,3.899896939811424e-9,8.72810965199336e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,24,96,45.176367491237556,7.802297508710719,6.682877990514952,0,0,4.25340720829556e-9,7.065612575423196e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,25,100,44.459097289376125,7.803794791436173,6.685088829736305,0,0,4.63635288668871e-9,5.818739767995573e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,26,104,43.73685563481214,7.805274270079556,6.687449561966971,0,0,5.051891748396007e-9,4.57186696056795e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,27,108,43.009494575124606,7.806730533240014,6.6899617920402035,0,0,5.503596436773455e-9,3.7406184222828684e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,28,112,42.276858529988026,7.808159687243668,6.692624763013689,0,0,5.995523153782641e-9,3.3249941531403274e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,29,116,41.53878373247749,7.809559313519264,6.6954350014669,0,0,6.532284753290545e-9,2.4937456148552454e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,30,120,40.795097617758714,7.810928354280538,6.698386056858924,0,0,7.119147762306251e-9,2.9093698839977864e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,31,124,40.045618153203996,7.812266950953438,6.701468396108459,0,0,7.762137259152181e-9,2.9093698839977864e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,32,128,39.29015310321273,7.81357626156591,6.70466951778651,0,0,8.468169012817165e-9,1.6624970765701637e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,33,132,38.52849922114942,7.814858282159966,6.707974344768264,0,0,9.245209359669221e-9,1.2468728074276227e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,34,136,37.76044135983486,7.816115694764802,6.711365938745562,0,0,1.0102459960460933e-8,2.9093698839977864e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,35,140,36.985751490925075,7.81735176298094,6.714826554711271,0,0,1.1050586841874786e-8,2.9093698839977864e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,36,144,36.20418762227875,7.818570298279647,6.718339019919353,0,0,1.2101999912920483e-8,3.3249941531403274e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,37,148,35.415492601044186,7.819775727228973,6.72188838324986,0,0,1.3271194741586007e-8,6.234364037138114e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,38,152,34.61939278869039,7.8209733014273395,6.725463742527353,0,0,1.4575155877475665e-8,2.4937456148552454e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,39,156,33.81559659258175,7.822169504659629,6.729060125386243,0,0,1.6033888742467326e-8,2.0781213457127047e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,40,160,33.00379283698543,7.823372719960012,6.732680279725768,0,0,1.7671029733581357e-8,8.312485382850819e-17
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,41,164,32.18364895467856,7.824594216132706,6.736336227045471,0,0,1.9514648344567143e-8,4.987491229710491e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,42,168,31.354808978713034,7.825849493554061,6.740050448080766,0,0,2.1598209759424663e-8,2.4937456148552454e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,43,172,30.51689131262112,7.827159991692931,6.7438566049470285,0,0,2.3961832080970135e-8,5.818739767995573e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,44,176,29.669486256766984,7.828555110857702,6.747799755313605,0,0,2.6653808671419e-8,7.481236844565737e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,45,180,28.812153269266435,7.830074449471654,6.7519360781572315,0,0,2.9732591195037764e-8,9.1437339211359e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,46,184,27.944417942886254,7.831770120629388,6.756332201749571,0,0,3.326927990924943e-8,8.312485382850819e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,47,188,27.065768686177986,7.833709001967214,6.761064294864008,0,0,3.7350820960800044e-8,9.559358190278442e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,48,192,26.175653110380534,7.835974799502185,6.766217141601755,0,0,4.2084084729990294e-8,1.0390606728563524e-15
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,49,196,25.273474147552093,7.83866986888456,6.771883457201586,0,0,4.760110652503628e-8,9.974982459420982e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,50,200,24.358585966900687,7.841916828674721,6.778163705978754,0,0,5.406582509385408e-8,1.2053103805133688e-15
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,51,204,23.43028982687913,7.845860109814076,6.78516664615142,0,0,6.168265930138563e-8,1.0806230997706064e-15
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,52,208,22.487830119616312,7.850667707853924,6.7930107484053766,0,0,7.070742784003021e-8,1.2053103805133688e-15
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,53,212,21.53039106453161,7.8565335398523315,6.801826517400199,0,0,8.146091720318274e-8,1.4131225150846392e-15
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,54,216,20.557094846268537,7.863680946588822,6.811759579804322,0,0,9.434522101385281e-8,1.2053103805133688e-15
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,55,220,19.56700256806003,7.872367942448534,6.822974132439947,0,0,1.098620995378077e-7,1.0806230997706064e-15
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,56,224,18.55912038373628,7.882894437688398,6.83565576661578,0,0,1.286303639844809e-7,9.559358190278442e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,57,228,17.532414906006217,7.89560945229273,6.850011205411702,0,0,1.513943015216531e-7,9.974982459420982e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,58,232,16.48584507550218,7.910907318878855,6.866258542944414,0,0,1.7900327367360392e-7,9.974982459420982e-16
galaxy-tidal-restricted-v1,1234,1600,0.6,1,25,12,0,800,59,236,15.418423283960001,7.9291705777747685,6.884591437191889,0,0,2.1231621075848722e-7,7.896861113708278e-16
